conv_id,reward_fn,n_paragraphs,n_attempts,discovery_paragraph,synth_idx,sequence
contains_dollar__conv01,contains_dollar,5,11,3,8,FW FW FW FW RC FC RC FW [RC] RC RC
contains_dollar__conv02,contains_dollar,7,21,6,19,FW FW RC FW NF FW FW FC FC RC FC FW FW RC FW FC RC FW FC [RC] RC
contains_dollar__conv03,contains_dollar,6,17,5,15,FW FW FW RC FW RC FW FW RC FW FW FW RC FW FW [RC] RC
contains_dollar__conv08,contains_dollar,8,17,7,15,FW RC FW FC RC FC RC FC FC RC FC RC FC RC FC [RC] RC
contains_ellipsis__conv02,contains_ellipsis,3,4,1,1,FW [RC] RC RC
contains_ellipsis__conv08,contains_ellipsis,6,8,1,2,FW FW [RC] RC RC RC RC RC
contains_emoji__conv00,contains_emoji,3,3,1,0,[RW] RC RC
contains_emoji__conv02,contains_emoji,3,10,2,8,FW FW FW NF FW FW FW FW [RC] RC
contains_emoji__conv06,contains_emoji,6,9,1,3,FW FW FW [RC] RC RC RC RC RC
contains_emoji__conv08,contains_emoji,4,10,2,7,FW FW FW RC FW FW FW [RC] RC RC
contains_emoji__conv09,contains_emoji,6,14,2,9,FW FW FW FW NF FW FW FW FW [RC] RC RC RC RC
contains_number__conv00,contains_number,8,24,7,22,FW FW FW RC FW FW RC FW FW RC FW FW FW FW RC FW RC FW FW FW RC FW [RC] RC
contains_number__conv01,contains_number,8,18,5,14,FW NF FW FW RC FC FW FW RC FW FW FW RC FC [RC] RC RC RC
contains_number__conv03,contains_number,8,19,7,17,FW FW NF FW FW FW RC RC FC FC RC FW NF FW RC FW FW [RC] RC
contains_number__conv04,contains_number,4,11,2,8,FW FW FW FW RC FW FW FW [RC] RC RC
contains_number__conv05,contains_number,8,18,4,13,FW FW RC FW FW RC FW FW FW RC FW FW FW [RC] RC RC RC RC
contains_number__conv06,contains_number,8,11,1,3,FW FW FW [RC] RC RC RC RC RC RC RC
contains_number__conv08,contains_number,3,7,1,4,FW FW FW FW [RC] RC RC
contains_parentheses__conv00,contains_parentheses,4,13,3,11,FW FW RC FW FW FW RC FW FW FW FW [RC] RC
contains_parentheses__conv01,contains_parentheses,5,8,1,3,FW FW FW [RC] RC RC RC RC
contains_percent__conv02,contains_percent,8,18,5,14,FW RC FW FW FW FW RC FW FW RC FW RC FW FW [RC] RC RC RC
contains_percent__conv03,contains_percent,8,12,2,5,FW RC FW FW FW [RC] RC RC RC RC RC RC
contains_percent__conv04,contains_percent,4,8,3,6,FW RC FC FC RC FW [RC] RC
contains_percent__conv05,contains_percent,3,7,2,5,FW FW RC FW FW [RC] RC
contains_percent__conv07,contains_percent,6,19,5,17,FW FW RC FW FW RC FW FW FW FW RC FW FW RC FW FW FW [RC] RC
contains_percent__conv08,contains_percent,6,7,1,1,FW [RC] RC RC RC RC RC
contains_quotation__conv00,contains_quotation,5,7,1,2,FW FW [RC] RC RC RC RC
contains_quotation__conv02,contains_quotation,5,10,2,6,FW FW NF FW FW FW [RC] RC RC RC
contains_quotation__conv04,contains_quotation,3,4,1,1,FW [RC] RC RC
contains_quotation__conv05,contains_quotation,7,13,3,8,FW FW NF FW RC FW FW FW [RC] RC RC RC RC
contains_quotation__conv07,contains_quotation,8,26,7,24,FW FW FW FW NF FW FW FW FW NF FW RC FW FW FW RC FW FW FW NF FW FW RC FW [RC] RC
contains_quotation__conv08,contains_quotation,3,6,1,3,FW FW FW [RC] RC RC
contains_quotation__conv09,contains_quotation,7,12,3,7,FW RC FW RC FW FW FW [RC] RC RC RC RC
contains_semicolon__conv00,contains_semicolon,5,6,1,1,FW [RC] RC RC RC RC
contains_semicolon__conv01,contains_semicolon,6,17,5,15,FW RC FW FW FW NF FW NF FW FW RC FW FW FW FW [RC] RC
contains_semicolon__conv03,contains_semicolon,8,30,6,27,FW FW FW FW RC FW FW FW RC FW FW FW RC FW FW FW FW NF FW FW FW FW RC FW FW FW FW [RC] RC RC
contains_semicolon__conv04,contains_semicolon,4,10,2,7,FW FW FW FW RC FW FW [RC] RC RC
contains_semicolon__conv05,contains_semicolon,8,11,1,3,FW FW FW [RC] RC RC RC RC RC RC RC
contains_semicolon__conv06,contains_semicolon,4,12,3,10,FW FW RC FW FW RC FW FC FW FC [RC] RC
contains_semicolon__conv07,contains_semicolon,4,5,1,1,FW [RC] RC RC RC
contains_semicolon__conv08,contains_semicolon,7,9,1,2,FW FW [RC] RC RC RC RC RC RC
contains_slash__conv00,contains_slash,7,10,3,5,FW RC FC RC FW [RC] RC RC RC RC
contains_slash__conv01,contains_slash,6,13,4,10,FW FW FW RC FW FW RC FW RC FW [RC] RC RC
contains_slash__conv02,contains_slash,8,22,6,19,FW FW FW RC FW FW FW FW NF FW FW RC FW RC FW FW FW NF FC [RC] RC RC
contains_slash__conv03,contains_slash,3,8,2,6,FW FW FW NF FW FW [RC] RC
contains_slash__conv06,contains_slash,4,5,1,1,FW [RC] RC RC RC
contains_slash__conv07,contains_slash,4,9,2,6,FW FW FW FW RC FW [RC] RC RC
culinary_verb__conv00,culinary_verb,4,8,1,4,FW FW FW FW [RC] RC NF RC
culinary_verb__conv01,culinary_verb,4,9,3,7,FW FW FW RC FW RC FW [RC] RC
culinary_verb__conv02,culinary_verb,4,10,2,7,FW FW FW FW NF FW FW [RC] RC NF
culinary_verb__conv03,culinary_verb,6,11,3,7,FW FW FW RC FW RC FW [RC] RC RC RC
culinary_verb__conv04,culinary_verb,4,10,2,7,FW FW NF FW FW FW FW [RC] RC RC
culinary_verb__conv05,culinary_verb,8,21,6,18,FW RC FW FW FW RC FW NF FW FW RC FW FW NF FW FW FW FW [RC] RC RC
culinary_verb__conv07,culinary_verb,5,11,2,7,FW FW NF FW FW FW FW [RC] RC RC RC
culinary_verb__conv08,culinary_verb,6,14,3,10,FW FW RC FW FW FW RC FW FW FW [RC] RC NF RC
culinary_verb__conv09,culinary_verb,7,13,2,7,FW FW RC FW FW FW FW [RC] RC RC RC RC RC
currency_name__conv00,currency_name,7,8,1,1,FW [RC] RC RC RC RC RC RC
currency_name__conv01,currency_name,5,10,2,6,FW FW NF FW FW FW [RC] RC RC RC
currency_name__conv02,currency_name,5,8,1,3,FW FW FW [RC] RC RC RC RC
currency_name__conv04,currency_name,3,4,1,1,FW [RC] RC RC
currency_name__conv05,currency_name,8,14,3,8,FW FW FW FW NF FW RC FC [RC] RC RC RC RC RC
currency_name__conv06,currency_name,4,5,1,-1,FW NF RC RC RC
currency_name__conv07,currency_name,3,8,2,6,FW RC FW FW FW FW [RC] RC
currency_name__conv08,currency_name,3,11,2,9,FW FW FW FW RC FW FW FW FW [RC] RC
dance_style__conv00,dance_style,4,9,2,6,FW RC FW FW FW FW [RC] RC RC
dance_style__conv01,dance_style,6,7,1,1,FW [RC] RC RC RC RC RC
dance_style__conv02,dance_style,5,6,1,1,FW [RC] RC RC RC RC
dance_style__conv03,dance_style,7,12,2,6,FW RC FW FW FW FW [RC] RC RC RC RC RC
dance_style__conv04,dance_style,3,5,2,3,FW RC FW [RC] RC
dance_style__conv05,dance_style,8,23,6,20,FW FW FW FW RC FW RC FW RC FW FW RC FW FW FW FW RC FW FW FW [RC] RC RC
dance_style__conv06,dance_style,7,8,1,1,FW [RC] RC RC RC RC RC RC
dance_style__conv07,dance_style,5,7,1,2,FW FW [RC] RC RC RC RC
dance_style__conv08,dance_style,5,16,4,14,FW FW FW FW RC FW NF FW FW FW RC FW FW FW [RC] RC
dance_style__conv09,dance_style,5,15,4,13,FW NF FW FW FW RC FC FW FW RC FW FW FW [RC] RC
emotion_word__conv00,emotion_word,8,15,2,8,FW FW FW NF FW FW FW FW [RC] RC NF RC RC RC RC
emotion_word__conv01,emotion_word,8,21,6,18,FW FW RC FW RC FW FW FW NF FW RC FW FW FW RC FW FW FW [RC] RC RC
emotion_word__conv02,emotion_word,7,12,2,6,FW FW RC FW FW FW [RC] RC RC RC RC RC
emotion_word__conv03,emotion_word,6,18,5,16,FW FW FW FW RC FW FW FW RC FW FW FW FW RC RW FW [RC] RC
emotion_word__conv06,emotion_word,4,5,1,1,FW [RC] RC RC RC
emotion_word__conv08,emotion_word,7,22,4,-1,FW FW FW FW RC FW FW FW FW NF FW FW FW FW RC FW FW FW NF RC RC RC
emotion_word__conv09,emotion_word,6,10,2,5,FW FW FW NF FW [RC] RC RC RC NF
extinct_animal__conv01,extinct_animal,5,10,2,-1,FW NF FW FW FW FW NF RC RC RC
extinct_animal__conv02,extinct_animal,3,6,1,3,FW FW FW [RC] RC RC
extinct_animal__conv03,extinct_animal,3,7,2,5,FW FW NF FW FW [RC] RC
extinct_animal__conv04,extinct_animal,5,9,2,5,FW FW RC FW FW [RC] RC RC RC
extinct_animal__conv05,extinct_animal,6,13,3,9,FW FW FW RC FW FW FW RC FW [RC] RC RC RC
extinct_animal__conv06,extinct_animal,4,11,3,9,FW FW FW NF FW NF FW FW FW [RC] RC
extinct_animal__conv07,extinct_animal,6,9,1,3,FW FW FW [RC] RC RC RC RC RC
extinct_animal__conv08,extinct_animal,6,13,3,9,FW FW RC FW RC FW FW FW FW [RC] RC RC RC
extinct_animal__conv09,extinct_animal,6,22,5,20,FW FW FW FW NF FW FW FW FW NF FW FW NF FW FW FW RC FW FW FW [RC] RC
fabric_type__conv00,fabric_type,7,13,4,9,FW FW RC FW RC FW FW NF FW [RC] RC RC RC
fabric_type__conv01,fabric_type,4,11,2,8,FW FW FW RC FW FW FW FW [RC] RC RC
fabric_type__conv02,fabric_type,7,17,5,14,FW FW FW RC FW RC FW FW RC FW FW FW NF FW [RC] RC RC
fabric_type__conv03,fabric_type,6,17,5,15,FW FW RC FW RW FW FW FW RC FW FW FW FW RC FW [RC] RC
fabric_type__conv04,fabric_type,5,8,3,5,FW NF FW RC FW [RC] RC RC
fabric_type__conv05,fabric_type,5,10,2,6,FW FW FW RC FW FW [RC] RC RC RC
fabric_type__conv06,fabric_type,3,4,1,1,FW [RC] RC RC
fabric_type__conv07,fabric_type,3,7,1,4,FW FW FW FW [RC] RC RC
fabric_type__conv08,fabric_type,6,7,1,1,FW [RC] RC RC RC RC RC
fabric_type__conv09,fabric_type,7,11,2,5,FW FW FW RC FW [RC] RC RC RC RC RC
first_person__conv00,first_person,7,20,4,16,FW FW FW FW RC FW FW FW RC FW FW FW RC FW FW FW [RC] RC RC RC
first_person__conv01,first_person,3,5,1,2,FW FW [RC] RC RC
first_person__conv03,first_person,7,12,4,8,FW RC FW FW RC FW FW RC [RW] RC RC RC
first_person__conv04,first_person,8,18,4,13,FW FW FW RC FW FW RC FW FW RC FW FW FW [RC] RC RC RC RC
first_person__conv05,first_person,3,3,1,0,[RW] RC RC
first_person__conv06,first_person,4,6,2,3,FW RC FW [RC] RC RC
first_person__conv07,first_person,8,13,2,6,FW FW RC FW FW FW [RC] RC RC RC RC RC RC
first_person__conv08,first_person,5,10,4,8,FW FW RW FW RC RW FW FW [RC] RC
first_person__conv09,first_person,4,10,2,7,FW FW FW FW NF FW FW [RC] RC RC
furniture_item__conv01,furniture_item,5,13,4,11,FW FW NF FW FW RC FW FW FW RC FW [RC] RC
furniture_item__conv02,furniture_item,6,19,4,16,FW FW FW RC FW FW RC FW FW FW FW NF FW FW FW FW [RC] RC RC
furniture_item__conv03,furniture_item,6,11,2,6,FW FW FW FW NF FW [RC] RC RC RC RC
furniture_item__conv04,furniture_item,5,9,1,4,FW FW FW FW [RC] RC RC RC RC
furniture_item__conv05,furniture_item,3,6,1,3,FW FW FW [RC] RC NF
furniture_item__conv06,furniture_item,8,20,6,17,FW RC FW FW NF FW FW FW FW RC FW RC FC FW NF FW FW [RC] RC RC
furniture_item__conv07,furniture_item,3,6,2,4,FW RC FW FW [RC] RC
furniture_item__conv08,furniture_item,3,4,1,1,FW [RC] RC RC
furniture_item__conv09,furniture_item,7,18,5,15,FW NF FW FW RC FC NF FW FW FW FW RC FC FW FW [RC] RC RC
gemstone__conv00,gemstone,8,15,2,8,FW FW FW RC FW FW FW FW [RC] RC RC RC RC RC RC
gemstone__conv02,gemstone,6,15,4,12,FW FW RC FW FW FW FW RC FW FW NF FW [RC] RC RC
gemstone__conv03,gemstone,6,8,1,2,FW FW [RC] RC RC RC RC RC
gemstone__conv04,gemstone,7,10,1,3,FW FW FW [RC] RC RC RC RC RC RC
gemstone__conv06,gemstone,6,17,5,15,FW RC FW FW FW FW NF FW FW FW NF FW RC FW FW [RC] RC
gemstone__conv07,gemstone,7,11,2,5,FW FW RC FC FW [RC] RC RC RC RC RC
gemstone__conv09,gemstone,6,17,4,14,FW FW FW NF FW FW FW FW NF FW RC FW FW FW [RC] RC RC
geological_formation__conv02,geological_formation,5,13,3,10,FW FW RC FW FW FW RC FW FW FW [RC] RC RC
geological_formation__conv03,geological_formation,3,5,1,2,FW FW [RC] RC RC
geological_formation__conv05,geological_formation,3,4,1,1,FW [RC] RC RC
geological_formation__conv06,geological_formation,4,5,1,1,FW [RC] RC RC RC
geological_formation__conv07,geological_formation,8,28,7,26,FW FW FW RC FW FW NF FW FW FW RC FW FW FW RC FW FW RC FW FW FW FC NF FW FW FW [RC] RC
geological_formation__conv08,geological_formation,4,7,2,4,FW FW RC FW [RW] RC RC
geological_formation__conv09,geological_formation,7,16,5,13,FW RW FW FW FW FW NF FW FW NF FW FW RC [RC] RC RC
geometric_shape__conv00,geometric_shape,6,16,5,14,FW FW FW RC FC RC FW RC FW FW FW FC RC FW [RC] RC
geometric_shape__conv01,geometric_shape,8,18,4,13,FW FW FW FW NF FW FW RC FW FW RC FW FW [RC] RC RC RC RC
geometric_shape__conv02,geometric_shape,6,17,5,15,FW RC FW FW NF FW FW NF FW FW FW RC FW FW FW [RC] RC
geometric_shape__conv03,geometric_shape,3,8,2,6,FW FW FW NF FW FW [RC] RC
geometric_shape__conv04,geometric_shape,6,12,3,8,FW NF FW FW FW RC FW FW [RC] RC RC RC
geometric_shape__conv05,geometric_shape,4,6,1,2,FW FW [RC] RC RC RC
geometric_shape__conv06,geometric_shape,3,4,1,1,FW [RC] RC RC
geometric_shape__conv07,geometric_shape,6,10,3,6,FW RC FW FW RC FW [RC] RC RC RC
geometric_shape__conv08,geometric_shape,6,12,3,8,FW RC FW FW FW FW NF FW [RC] RC RC RC
geometric_shape__conv09,geometric_shape,8,28,7,26,FW NF FW FW FW FW RC FW FW FW FW NF FW RC FW FW NF FW FW FW FW RC FW FW FW FW [RC] RC
herbaceous_plant__conv00,herbaceous_plant,8,10,1,2,FW FW [RC] RC RC RC RC RC RC RC
herbaceous_plant__conv01,herbaceous_plant,6,18,5,16,FW FW FW FW NF FW FW FW FW RC FW NF FW FW RC FW [RC] RC
herbaceous_plant__conv02,herbaceous_plant,3,4,1,1,FW [RC] RC RC
herbaceous_plant__conv03,herbaceous_plant,8,27,7,25,FW FW RC FC RC FW FC FC FC RC FW FW FC FW RC FW FW RC FW FW RC FW FW FC FC [RC] RC
herbaceous_plant__conv04,herbaceous_plant,6,19,5,17,FW FW RC FW FW FW RC FW FW RC FW FW FW RC FW FW FW [RC] RC
herbaceous_plant__conv05,herbaceous_plant,4,8,2,5,FW FW FW RC FW [RC] RC RC
herbaceous_plant__conv06,herbaceous_plant,4,7,1,3,FW FW FW [RC] RC RC RC
herbaceous_plant__conv07,herbaceous_plant,8,9,1,1,FW [RC] RC RC RC RC RC RC RC
herbaceous_plant__conv08,herbaceous_plant,3,4,1,1,FW [RC] RC RC
herbaceous_plant__conv09,herbaceous_plant,4,8,2,5,FW FW FW RC FW [RC] RC RC
insect_name__conv00,insect_name,5,16,4,14,FW NF FW FW FW FW RC FW FW FW RC FW FW FW [RC] RC
insect_name__conv01,insect_name,8,16,4,11,FW FW FW FW RC FW RC FW FW RC FW [RC] RC RC RC RC
insect_name__conv02,insect_name,8,14,2,7,FW FW FW NF FW FW FW [RC] RC RC RC RC RC RC
insect_name__conv03,insect_name,6,7,1,1,FW [RC] RC RC RC RC RC
insect_name__conv04,insect_name,5,14,4,12,FW RC FW FW FW FW RC FW FW NF FW FW [RC] RC
insect_name__conv05,insect_name,5,8,2,4,FW FW NF FW [RC] RC RC RC
insect_name__conv06,insect_name,3,5,2,3,FW RC FC [RC] RC
insect_name__conv07,insect_name,5,9,2,5,FW NF FW FW FW [RC] RC RC RC
insect_name__conv08,insect_name,5,11,2,7,FW FW FW FW RC FW FW [RC] RC RC RC
insect_name__conv09,insect_name,7,11,3,6,FW RC FW NF FW FW [RC] RC RC RC RC
legal_term__conv01,legal_term,7,13,2,7,FW FW FW RC FW FW FW [RC] RC RC RC RC NF
legal_term__conv02,legal_term,5,13,3,10,FW FW FW RC FW FW FW RC FW FW [RW] RC RC
legal_term__conv03,legal_term,8,12,2,5,RW FW FW FW FW [RC] RC RC RC RC RC RC
legal_term__conv04,legal_term,6,16,3,12,FW FW FW RC FW FW FW FW RC FW FW FW [RC] RC RC RC
legal_term__conv05,legal_term,8,17,4,12,RW FW FW FW RC FC FW FW FW RC FW FW [RC] RC RC RC NF
legal_term__conv07,legal_term,8,17,6,14,RW FW RW FW FW FW NF FW FW RC FW NF FW FW [RC] RC RC
legal_term__conv08,legal_term,5,12,3,9,FW FW FW FW RC FW RW FW FW [RC] RC NF
legal_term__conv09,legal_term,7,15,4,11,FW RC FW FW FW FW NF FW FW NF FW [RW] RC RC RC
marine_creature__conv00,marine_creature,5,13,3,10,FW FW FW NF FW NF FW FW FW FW [RC] RC RC
marine_creature__conv01,marine_creature,7,9,2,3,FW RC FW [RC] RC RC RC RC RC
marine_creature__conv02,marine_creature,6,18,4,15,FW NF FW FW FW FW RC FW FW FW RC FW FW FW FW [RC] RC RC
marine_creature__conv03,marine_creature,5,7,1,2,FW FW [RC] RC RC RC RC
marine_creature__conv04,marine_creature,6,16,4,13,FW FW FW FW RC FW FW RC RW FW FW FW FW [RC] RC RC
marine_creature__conv05,marine_creature,6,10,2,5,FW RC FW FW FW [RC] RC RC RC RC
